,artist,track,date,chart,spotify_query
0,NLE Choppa Featuring Roddy Ricch,Walk Em Down,2020-05-01,rap-song,NLE+Choppa+Walk+Em+Down
1,DaBaby,Find My Way,2020-05-01,rap-song,DaBaby+Find+My+Way
2,Drake,Toosie Slide,2020-05-01,rap-song,Drake+Toosie+Slide
3,Roddy Ricch,The Box,2020-05-01,rap-song,Roddy+Ricch+The+Box
4,DaBaby Featuring Roddy Ricch,ROCKSTAR,2020-05-01,rap-song,DaBaby+ROCKSTAR
5,Future Featuring Drake,Life Is Good,2020-05-01,rap-song,Future+Life+Is+Good
6,Megan Thee Stallion,Savage,2020-05-01,rap-song,Megan+Thee+Stallion+Savage
7,DaBaby Featuring YoungBoy Never Broke Again,JUMP,2020-05-01,rap-song,DaBaby+JUMP
8,Trevor Daniel,Falling,2020-05-01,rap-song,Trevor+Daniel+Falling
9,Roddy Ricch Featuring Mustard,High Fashion,2020-05-01,rap-song,Roddy+Ricch+High+Fashion
10,Arizona Zervas,Roxanne,2020-05-01,rap-song,Arizona+Zervas+Roxanne
11,Powfu Featuring beabadoobee,death bed,2020-05-01,rap-song,Powfu+death+bed
12,Rod Wave,Heart On Ice,2020-05-01,rap-song,Rod+Wave+Heart+On+Ice
13,Lil Mosey,Blueberry Faygo,2020-05-01,rap-song,Lil+Mosey+Blueberry+Faygo
14,Playboi Carti,@ MEH,2020-05-01,rap-song,Playboi+Carti+@+MEH
15,Lil Baby,Sum 2 Prove,2020-05-01,rap-song,Lil+Baby+Sum+2+Prove
16,Jack Harlow,Whats Poppin,2020-05-01,rap-song,Jack+Harlow+Whats+Poppin
17,DaBaby,BLAME IT ON BABY,2020-05-01,rap-song,DaBaby+BLAME+IT+ON+BABY
18,DaBaby,CAN'T STOP,2020-05-01,rap-song,DaBaby+CAN'T+STOP
19,YNW Melly & Juice WRLD,Suicidal,2020-05-01,rap-song,YNW+Melly+Suicidal
20,Russ & BIA,BEST ON EARTH,2020-05-01,rap-song,Russ+BEST+ON+EARTH
21,Pop Smoke,Dior,2020-05-01,rap-song,Pop+Smoke+Dior
22,DaBaby Featuring Future & jetsonmade,LIGHTSKIN SH*T,2020-05-01,rap-song,DaBaby+LIGHTSKIN+SH*T
23,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,2020-05-01,rap-song,DaBaby+NASTY
24,DaBaby Featuring Quavo,PICK UP,2020-05-01,rap-song,DaBaby+PICK+UP
25,Eminem Featuring Juice WRLD,Godzilla,2020-04-01,rap-song,Eminem+Godzilla
26,DaBaby,BOP,2020-04-01,rap-song,DaBaby+BOP
27,blackbear,Hot Girl Bummer,2020-04-01,rap-song,blackbear+Hot+Girl+Bummer
28,Lil Baby,Woah,2020-04-01,rap-song,Lil+Baby+Woah
29,Lil Uzi Vert,P2,2020-04-01,rap-song,Lil+Uzi+Vert+P2
30,Lil Uzi Vert,That Way,2020-04-01,rap-song,Lil+Uzi+Vert+That+Way
31,Lil Uzi Vert,Myron,2020-04-01,rap-song,Lil+Uzi+Vert+Myron
32,JACKBOYS Featuring Young Thug,OUT WEST,2020-04-01,rap-song,JACKBOYS+OUT+WEST
33,"Lil Yachty, Drake & DaBaby",Oprah's Bank Account,2020-04-01,rap-song,"Lil+Yachty,+Drake+Oprah's+Bank+Account"
34,Lil Uzi Vert,Baby Pluto,2020-04-01,rap-song,Lil+Uzi+Vert+Baby+Pluto
35,Megan Thee Stallion,B.I.T.C.H.,2020-04-01,rap-song,Megan+Thee+Stallion+B.I.T.C.H.
36,Travis Scott,HIGHEST IN THE ROOM,2020-03-01,rap-song,Travis+Scott+HIGHEST+IN+THE+ROOM
37,Mustard & Roddy Ricch,Ballin',2020-03-01,rap-song,Mustard+Ballin'
38,YoungBoy Never Broke Again,Lil Top,2020-03-01,rap-song,YoungBoy+Never+Broke+Again+Lil+Top
39,YoungBoy Never Broke Again,Fine By Time,2020-03-01,rap-song,YoungBoy+Never+Broke+Again+Fine+By+Time
40,Polo G Featuring NLE Choppa & Stunna 4 Vegas,Go Stupid,2020-03-01,rap-song,Polo+G+Go+Stupid
41,YoungBoy Never Broke Again,Bad Bad,2020-03-01,rap-song,YoungBoy+Never+Broke+Again+Bad+Bad
42,YoungBoy Never Broke Again,Knocked Off,2020-03-01,rap-song,YoungBoy+Never+Broke+Again+Knocked+Off
43,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,2020-03-01,rap-song,A+Boogie+Wit+da+Hoodie+Numbers
44,YoungBoy Never Broke Again,Red Eye,2020-03-01,rap-song,YoungBoy+Never+Broke+Again+Red+Eye
45,Eminem,Darkness,2020-02-01,rap-song,Eminem+Darkness
46,Mac Miller,Good News,2020-02-01,rap-song,Mac+Miller+Good+News
47,Eminem Featuring Ed Sheeran,Those Kinda Nights,2020-02-01,rap-song,Eminem+Those+Kinda+Nights
48,"Eminem Featuring Royce da 5'9"" & White Gold",You Gon' Learn,2020-02-01,rap-song,Eminem+You+Gon'+Learn
49,Eminem,Premonition (Intro),2020-02-01,rap-song,Eminem+Premonition
50,DaBaby Featuring Lil Baby & Moneybagg Yo,TOES,2020-02-01,rap-song,DaBaby+TOES
51,Eminem Featuring Skylar Grey,Leaving Heaven,2020-02-01,rap-song,Eminem+Leaving+Heaven
52,Lil Uzi Vert,Futsal Shuffle 2020,2020-02-01,rap-song,Lil+Uzi+Vert+Futsal+Shuffle+2020
53,Juice WRLD & YoungBoy Never Broke Again,Bandit,2020-02-01,rap-song,Juice+WRLD+Bandit
54,Mac Miller,Blue World,2020-02-01,rap-song,Mac+Miller+Blue+World
55,Eminem Featuring Young M.A,Unaccommodating,2020-02-01,rap-song,Eminem+Unaccommodating
56,Young Thug Featuring Gunna,Hot,2020-02-01,rap-song,Young+Thug+Hot
57,Lil Nas X,Panini,2020-01-01,rap-song,Lil+Nas+X+Panini
58,Wale Featuring Jeremih,On Chill,2020-01-01,rap-song,Wale+On+Chill
59,Don Toliver,No Idea,2020-01-01,rap-song,Don+Toliver+No+Idea
60,DaBaby,VIBEZ,2020-01-01,rap-song,DaBaby+VIBEZ
61,Juice WRLD,Robbery,2020-01-01,rap-song,Juice+WRLD+Robbery
62,NLE Choppa,Camelot,2020-01-01,rap-song,NLE+Choppa+Camelot
63,Roddy Ricch & Gunna,Start Wit Me,2020-01-01,rap-song,Roddy+Ricch+Start+Wit+Me
64,Juice WRLD,Let Me Know (I Wonder Why Freestyle),2020-01-01,rap-song,Juice+WRLD+Let+Me+Know
65,Trippie Redd Featuring DaBaby,Death,2020-01-01,rap-song,Trippie+Redd+Death
66,YNW Melly & 9lokknine,223's,2020-01-01,rap-song,YNW+Melly+223's
67,Roddy Ricch Featuring A Boogie Wit da Hoodie,Tip Toe,2020-01-01,rap-song,Roddy+Ricch+Tip+Toe
68,Lil Baby & DaBaby,Baby,2020-01-01,rap-song,Lil+Baby+Baby
69,Lil Tecca,Ran$om,2019-12-01,rap-song,Lil+Tecca+Ran$om
70,Post Malone Featuring Young Thug,Goodbyes,2019-12-01,rap-song,Post+Malone+Goodbyes
71,Lizzo,Truth Hurts,2019-12-01,rap-song,Lizzo+Truth+Hurts
72,Trippie Redd,Who Needs Love,2019-12-01,rap-song,Trippie+Redd+Who+Needs+Love
73,Trippie Redd Featuring Juice WRLD & YNW Melly,6 Kiss,2019-12-01,rap-song,Trippie+Redd+6+Kiss
74,Drake Featuring Rick Ross,Money In The Grave,2019-12-01,rap-song,Drake+Money+In+The+Grave
75,NF,Time,2019-12-01,rap-song,NF+Time
76,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,2019-11-01,rap-song,Lil+Nas+X+Old+Town+Road
77,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,2019-11-01,rap-song,"Megan+Thee+Stallion,+Nicki+Minaj+Hot+Girl+Summer"
78,YoungBoy Never Broke Again,Self Control,2019-11-01,rap-song,YoungBoy+Never+Broke+Again+Self+Control
79,Megan Thee Stallion Featuring DaBaby,Cash Shit,2019-11-01,rap-song,Megan+Thee+Stallion+Cash+Shit
80,DaBaby Featuring Offset,Baby Sitter,2019-11-01,rap-song,DaBaby+Baby+Sitter
81,YoungBoy Never Broke Again,Make No Sense,2019-11-01,rap-song,YoungBoy+Never+Broke+Again+Make+No+Sense
82,Saweetie,My Type,2019-11-01,rap-song,Saweetie+My+Type
83,YoungBoy Never Broke Again,Lonely Child,2019-11-01,rap-song,YoungBoy+Never+Broke+Again+Lonely+Child
84,DaBaby,INTRO,2019-10-01,rap-song,DaBaby+INTRO
85,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2019-10-01,rap-song,Post+Malone+Sunflower
86,Post Malone Featuring DaBaby,Enemies,2019-10-01,rap-song,Post+Malone+Enemies
87,"Young Thug, J. Cole & Travis Scott",The London,2019-10-01,rap-song,"Young+Thug,+J.+Cole+The+London"
88,Post Malone,Saint-Tropez,2019-10-01,rap-song,Post+Malone+Saint-Tropez
89,Post Malone Featuring Future & Halsey,Die For Me,2019-10-01,rap-song,Post+Malone+Die+For+Me
90,Post Malone Featuring Meek Mill & Lil Baby,On The Road,2019-10-01,rap-song,Post+Malone+On+The+Road
91,Y2K & bbno$,Lalala,2019-10-01,rap-song,Y2K+Lalala
92,DaBaby,Suge,2019-09-01,rap-song,DaBaby+Suge
93,Polo G Featuring Lil Tjay,Pop Out,2019-09-01,rap-song,Polo+G+Pop+Out
94,Cardi B,Press,2019-09-01,rap-song,Cardi+B+Press
95,"YG, Tyga & Jon Z",Go Loko,2019-09-01,rap-song,"YG,+Tyga+Go+Loko"
96,Lil Tjay,F.N,2019-09-01,rap-song,Lil+Tjay+F.N
97,Young Thug Featuring Lil Baby,Bad Bad Bad,2019-09-01,rap-song,Young+Thug+Bad+Bad+Bad
98,NLE Choppa,Shotta Flow,2019-09-01,rap-song,NLE+Choppa+Shotta+Flow
99,Offset Featuring Cardi B,Clout,2019-09-01,rap-song,Offset+Clout
100,Post Malone,Wow.,2019-08-01,rap-song,Post+Malone+Wow.
101,City Girls,Act Up,2019-08-01,rap-song,City+Girls+Act+Up
102,Lil Nas X & Cardi B Or Nas,Rodeo,2019-08-01,rap-song,Lil+Nas+X+Rodeo
103,"Dreamville Featuring J. Cole, Lute & DaBaby",Under The Sun,2019-08-01,rap-song,Dreamville+Under+The+Sun
104,NAV Featuring Meek Mill,Tap,2019-08-01,rap-song,NAV+Tap
105,Meek Mill Featuring Ella Mai,24/7,2019-08-01,rap-song,Meek+Mill+24
106,YK Osiris,Worth It,2019-08-01,rap-song,YK+Osiris+Worth+It
107,Nicki Minaj,MEGATRON,2019-07-01,rap-song,Nicki+Minaj+MEGATRON
108,J. Cole,Middle Child,2019-07-01,rap-song,J.+Cole+Middle+Child
109,Mustard & Migos,Pure Water,2019-07-01,rap-song,Mustard+Pure+Water
110,Cardi B & Bruno Mars,Please Me,2019-07-01,rap-song,Cardi+B+Please+Me
111,DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish,2019-07-01,rap-song,DJ+Khaled+Wish+Wish
112,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,2019-07-01,rap-song,"Yella+Beezy,+Gucci+Mane+Bacc+At+It+Again"
113,Lil Baby Featuring Future,Out The Mud,2019-07-01,rap-song,Lil+Baby+Out+The+Mud
114,A Boogie Wit da Hoodie,Look Back At It,2019-06-01,rap-song,A+Boogie+Wit+da+Hoodie+Look+Back+At+It
115,Meek Mill Featuring Drake,Going Bad,2019-06-01,rap-song,Meek+Mill+Going+Bad
116,DJ Khaled Featuring Nipsey Hussle & John Legend,Higher,2019-06-01,rap-song,DJ+Khaled+Higher
117,Logic Featuring Eminem,Homicide,2019-06-01,rap-song,Logic+Homicide
118,Calboy,Envy Me,2019-06-01,rap-song,Calboy+Envy+Me
119,YNW Melly,Murder On My Mind,2019-06-01,rap-song,YNW+Melly+Murder+On+My+Mind
120,Lil Baby,Close Friends,2019-06-01,rap-song,Lil+Baby+Close+Friends
121,Lil Uzi Vert,Sanguine Paradise,2019-06-01,rap-song,Lil+Uzi+Vert+Sanguine+Paradise
122,DJ Khaled Featuring Travis Scott & Post Malone,Celebrate,2019-06-01,rap-song,DJ+Khaled+Celebrate
123,"Tyler, The Creator",I Think,2019-06-01,rap-song,"Tyler,+The+Creator+I+Think"
124,Blueface,Thotiana,2019-06-01,rap-song,Blueface+Thotiana
125,21 Savage,A Lot,2019-06-01,rap-song,21+Savage+A+Lot
126,Yo Gotti Featuring Lil Baby,Put A Date On It,2019-05-01,rap-song,Yo+Gotti+Put+A+Date+On+It
127,Megan Thee Stallion,Big Ole Freak,2019-05-01,rap-song,Megan+Thee+Stallion+Big+Ole+Freak
128,YNW Melly Featuring Kanye West,Mixed Personalities,2019-05-01,rap-song,YNW+Melly+Mixed+Personalities
129,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,2019-05-01,rap-song,A+Boogie+Wit+da+Hoodie+Swervin
130,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle,2019-05-01,rap-song,Nipsey+Hussle+Racks+In+The+Middle
131,Cardi B,Money,2019-04-01,rap-song,Cardi+B+Money
132,Travis Scott,Sicko Mode,2019-04-01,rap-song,Travis+Scott+Sicko+Mode
133,Daddy Yankee Featuring Snow,Con Calma,2019-04-01,rap-song,Daddy+Yankee+Con+Calma
134,Lil Baby,Pure Cocaine,2019-04-01,rap-song,Lil+Baby+Pure+Cocaine
135,City Girls Featuring Cardi B,Twerk,2019-04-01,rap-song,City+Girls+Twerk
136,Kodak Black Featuring Travis Scott & Offset,ZEZE,2019-04-01,rap-song,Kodak+Black+ZEZE
137,Lil Baby & Gunna,Drip Too Hard,2019-03-01,rap-song,Lil+Baby+Drip+Too+Hard
138,Flipp Dinero,Leave Me Alone,2019-03-01,rap-song,Flipp+Dinero+Leave+Me+Alone
139,Offset,Red Room,2019-03-01,rap-song,Offset+Red+Room
140,Kodak Black,Calling My Spirit,2019-03-01,rap-song,Kodak+Black+Calling+My+Spirit
141,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,2019-03-01,rap-song,Gucci+Mane+Bruno+Mars+Kodak+Black+Wake+Up+In+The+Sky
142,Pardison Fontaine Featuring Cardi B,Backin' It Up,2019-03-01,rap-song,Pardison+Fontaine+Backin'+It+Up
143,Sheck Wes,Mo Bamba,2019-03-01,rap-song,Sheck+Wes+Mo+Bamba
144,Post Malone,Better Now,2019-02-01,rap-song,Post+Malone+Better+Now
145,Logic,Keanu Reeves,2019-02-01,rap-song,Logic+Keanu+Reeves
146,Future,Crushed Up,2019-02-01,rap-song,Future+Crushed+Up
147,Future Featuring Travis Scott,First Off,2019-02-01,rap-song,Future+First+Off
148,Future,Jumpin On A Jet,2019-02-01,rap-song,Future+Jumpin+On+A+Jet
149,Lil Wayne,Uproar,2019-02-01,rap-song,Lil+Wayne+Uproar
150,Juice WRLD,Armed And Dangerous,2019-02-01,rap-song,Juice+WRLD+Armed+And+Dangerous
151,Juice WRLD,Lucid Dreams,2019-01-01,rap-song,Juice+WRLD+Lucid+Dreams
152,21 Savage,All My Friends,2019-01-01,rap-song,21+Savage+All+My+Friends
153,Tory Lanez & Rich The Kid,Talk To Me,2019-01-01,rap-song,Tory+Lanez+Talk+To+Me
154,21 Savage,Break Da Law,2019-01-01,rap-song,21+Savage+Break+Da+Law
155,XXXTENTACION,BAD!,2019-01-01,rap-song,XXXTENTACION+BAD!
156,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,2019-01-01,rap-song,Meek+Mill+Dangerous
157,Cardi B Featuring Kehlani,Ring,2019-01-01,rap-song,Cardi+B+Ring
158,21 Savage,Can't Leave Without It,2019-01-01,rap-song,21+Savage+Can't+Leave+Without+It
159,A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender,2019-01-01,rap-song,A+Boogie+Wit+da+Hoodie+Startender
160,Drake,In My Feelings,2018-12-01,rap-song,Drake+In+My+Feelings
161,"Cardi B, Bad Bunny & J Balvin",I Like It,2018-12-01,rap-song,"Cardi+B,+Bad+Bunny+I+Like+It"
162,Tyga Featuring Offset,Taste,2018-12-01,rap-song,Tyga+Taste
163,Drake,Nonstop,2018-12-01,rap-song,Drake+Nonstop
164,Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile (Living My Best Life),2018-12-01,rap-song,Lil'+Duval+Smile
165,Yella Beezy,That's On Me,2018-12-01,rap-song,Yella+Beezy+That's+On+Me
166,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",Big Bank,2018-12-01,rap-song,YG+Big+Bank
167,NF,Lie,2018-12-01,rap-song,NF+Lie
168,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,2018-12-01,rap-song,6ix9ine+FEFE
169,Future & Juice WRLD,Fine China,2018-11-01,rap-song,Future+Fine+China
170,Lil Baby & Drake,Yes Indeed,2018-11-01,rap-song,Lil+Baby+Yes+Indeed
171,6ix9ine Featuring Bobby Shmurda,STOOPID,2018-11-01,rap-song,6ix9ine+STOOPID
172,Lil Baby & Gunna Featuring Drake,Never Recover,2018-11-01,rap-song,Lil+Baby+Never+Recover
173,Kanye West & Lil Pump,I Love It,2018-11-01,rap-song,Kanye+West+I+Love+It
174,Lil Uzi Vert,New Patek,2018-10-01,rap-song,Lil+Uzi+Vert+New+Patek
175,Eminem,Killshot,2018-10-01,rap-song,Eminem+Killshot
176,Eminem Featuring Joyner Lucas,Lucky You,2018-10-01,rap-song,Eminem+Lucky+You
177,Quavo,W O R K I N  M E,2018-10-01,rap-song,Quavo+W+O+R+K+I+N++M+E
178,XXXTENTACION,Moonlight,2018-10-01,rap-song,XXXTENTACION+Moonlight
179,French Montana Featuring Drake,No Stylist,2018-10-01,rap-song,French+Montana+No+Stylist
180,Machine Gun Kelly,Rap Devil,2018-10-01,rap-song,Machine+Gun+Kelly+Rap+Devil
181,Drake,Nice For What,2018-10-01,rap-song,Drake+Nice+For+What
182,XXXTENTACION,Sad!,2018-09-01,rap-song,XXXTENTACION+Sad!
183,Post Malone Featuring Ty Dolla $ign,Psycho,2018-09-01,rap-song,Post+Malone+Psycho
184,Travis Scott,Stargazing,2018-09-01,rap-song,Travis+Scott+Stargazing
185,Juice WRLD,Lean Wit Me,2018-09-01,rap-song,Juice+WRLD+Lean+Wit+Me
186,Young Thug Featuring Gunna & Lil Baby,Chanel (Go Get It),2018-09-01,rap-song,Young+Thug+Chanel
187,G-Eazy Featuring Yo Gotti & YBN Nahmir,1942,2018-09-01,rap-song,G-Eazy+1942
188,Drake,I'm Upset,2018-09-01,rap-song,Drake+I'm+Upset
189,Nicki Minaj,Barbie Dreams,2018-09-01,rap-song,Nicki+Minaj+Barbie+Dreams
190,Cardi B,Be Careful,2018-09-01,rap-song,Cardi+B+Be+Careful
191,Travis Scott,Yosemite,2018-09-01,rap-song,Travis+Scott+Yosemite
192,The Carters,Apes**t,2018-09-01,rap-song,The+Carters+Apes**t
193,Juice WRLD,All Girls Are The Same,2018-09-01,rap-song,Juice+WRLD+All+Girls+Are+The+Same
194,Drake,God's Plan,2018-08-01,rap-song,Drake+God's+Plan
195,Childish Gambino,This Is America,2018-08-01,rap-song,Childish+Gambino+This+Is+America
196,Drake,Mob Ties,2018-08-01,rap-song,Drake+Mob+Ties
197,Nicki Minaj Featuring Ariana Grande,Bed,2018-08-01,rap-song,Nicki+Minaj+Bed
198,Chance The Rapper,I Might Need Security,2018-08-01,rap-song,Chance+The+Rapper+I+Might+Need+Security
199,Juice WRLD Featuring Lil Uzi Vert,Wasted,2018-08-01,rap-song,Juice+WRLD+Wasted
200,Becky G + Natti Natasha,Sin Pijama,2018-08-01,rap-song,Becky+G+++Natti+Natasha+Sin+Pijama
201,Post Malone Featuring Nicki Minaj,Ball For Me,2018-08-01,rap-song,Post+Malone+Ball+For+Me
202,Rich The Kid,Plug Walk,2018-07-01,rap-song,Rich+The+Kid+Plug+Walk
203,XXXTENTACION,Jocelyn Flores,2018-07-01,rap-song,XXXTENTACION+Jocelyn+Flores
204,XXXTENTACION,Everybody Dies In Their Nightmares,2018-07-01,rap-song,XXXTENTACION+Everybody+Dies+In+Their+Nightmares
205,XXXTENTACION,The Remedy For A Broken Heart (Why Am I So In Love),2018-07-01,rap-song,XXXTENTACION+The+Remedy+For+A+Broken+Heart
206,Kanye West,All Mine,2018-07-01,rap-song,Kanye+West+All+Mine
207,"2 Chainz, Drake & Quavo",Bigger > You,2018-07-01,rap-song,"2+Chainz,+Drake+Bigger+>+You"
208,Migos Featuring Drake,Walk It Talk It,2018-07-01,rap-song,Migos+Walk+It+Talk+It
209,BlocBoy JB Featuring Drake,Look Alive,2018-07-01,rap-song,BlocBoy+JB+Look+Alive
210,Nicki Minaj,Chun-Li,2018-06-01,rap-song,Nicki+Minaj+Chun-Li
211,Post Malone,Paranoid,2018-06-01,rap-song,Post+Malone+Paranoid
212,YoungBoy Never Broke Again,Overdose,2018-06-01,rap-song,YoungBoy+Never+Broke+Again+Overdose
213,J. Cole,KOD,2018-06-01,rap-song,J.+Cole+KOD
214,Migos,Stir Fry,2018-06-01,rap-song,Migos+Stir+Fry
215,Famous Dex,Japan,2018-06-01,rap-song,Famous+Dex+Japan
216,Lil Pump,Esskeetit,2018-06-01,rap-song,Lil+Pump+Esskeetit
217,Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,2018-06-01,rap-song,Travis+Scott+Watch
218,"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,2018-06-01,rap-song,"Jay+Rock,+Kendrick+Lamar,+Future+King's+Dead"
219,Rae Sremmurd & Juicy J,Powerglide,2018-06-01,rap-song,Rae+Sremmurd+Powerglide
220,J. Cole,Motiv8,2018-05-01,rap-song,J.+Cole+Motiv8
221,J. Cole,Photograph,2018-05-01,rap-song,J.+Cole+Photograph
222,J. Cole,Kevin's Heart,2018-05-01,rap-song,J.+Cole+Kevin's+Heart
223,J. Cole,ATM,2018-05-01,rap-song,J.+Cole+ATM
224,J. Cole,1985 (Intro To The Fall Off),2018-05-01,rap-song,J.+Cole+1985
225,J. Cole,Once An Addict (Interlude),2018-05-01,rap-song,J.+Cole+Once+An+Addict
226,J. Cole Featuring kiLL edward,Friends,2018-05-01,rap-song,J.+Cole+Friends
227,J. Cole,Window Pain (Outro),2018-05-01,rap-song,J.+Cole+Window+Pain
228,J. Cole Featuring kiLL edward,The Cut Off,2018-05-01,rap-song,J.+Cole+The+Cut+Off
229,J. Cole,Brackets,2018-05-01,rap-song,J.+Cole+Brackets
230,Offset & Metro Boomin,Ric Flair Drip,2018-04-01,rap-song,Offset+Ric+Flair+Drip
231,G-Eazy & Halsey,Him & I,2018-04-01,rap-song,G-Eazy+Him+&+I
232,NF,Let You Down,2018-04-01,rap-song,NF+Let+You+Down
233,N*E*R*D & Rihanna,Lemon,2018-04-01,rap-song,N*E*R*D+Lemon
234,YoungBoy Never Broke Again,Outside Today,2018-04-01,rap-song,YoungBoy+Never+Broke+Again+Outside+Today
235,Derez De'Shon,Hardaway,2018-04-01,rap-song,Derez+De'Shon+Hardaway
236,Lil Skies Featuring Landon Cube,Red Roses,2018-04-01,rap-song,Lil+Skies+Red+Roses
237,Logic & Marshmello,Everyday,2018-04-01,rap-song,Logic+Everyday
238,"DJ Khaled Featuring JAY Z, Future & B",Top Off,2018-04-01,rap-song,DJ+Khaled+Top+Off
239,Rich The Kid Featuring Kendrick Lamar,New Freezer,2018-04-01,rap-song,Rich+The+Kid+New+Freezer
240,6ix9ine,Billy,2018-04-01,rap-song,6ix9ine+Billy
241,Cardi B Featuring 21 Savage,Bartier Cardi,2018-04-01,rap-song,Cardi+B+Bartier+Cardi
242,"Migos, Nicki Minaj & Cardi B",MotorSport,2018-04-01,rap-song,"Migos,+Nicki+Minaj+MotorSport"
243,6ix9ine,Gummo,2018-04-01,rap-song,6ix9ine+Gummo
244,Kendrick Lamar Featuring Zacari,Love.,2018-03-01,rap-song,Kendrick+Lamar+Love.
245,Post Malone,I Fall Apart,2018-03-01,rap-song,Post+Malone+I+Fall+Apart
246,Post Malone Featuring 21 Savage,Rockstar,2018-03-01,rap-song,Post+Malone+Rockstar
247,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,2018-03-01,rap-song,G-Eazy+No+Limit
248,Eminem Featuring Ed Sheeran,River,2018-03-01,rap-song,Eminem+River
249,Lil Pump,Gucci Gang,2018-03-01,rap-song,Lil+Pump+Gucci+Gang
250,Macklemore Featuring Kesha,Good Old Days,2018-03-01,rap-song,Macklemore+Good+Old+Days
251,"ScHoolboy Q, 2 Chainz & Saudi",X,2018-03-01,rap-song,"ScHoolboy+Q,+2+Chainz+X"
252,Famous Dex Featuring A$AP Rocky,Pick It Up,2018-03-01,rap-song,Famous+Dex+Pick+It+Up
253,Migos,Narcos,2018-03-01,rap-song,Migos+Narcos
254,A$AP Ferg Featuring Nicki Minaj,Plain Jane,2018-03-01,rap-song,A$AP+Ferg+Plain+Jane
255,Gucci Mane Featuring Migos,I Get The Bag,2018-02-01,rap-song,Gucci+Mane+I+Get+The+Bag
256,Drake,Diplomatic Immunity,2018-02-01,rap-song,Drake+Diplomatic+Immunity
257,Lil Skies Featuring Landon Cube,Nowadays,2018-02-01,rap-song,Lil+Skies+Nowadays
258,"Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",Pills And Automobiles,2018-02-01,rap-song,Chris+Brown+Pills+And+Automobiles
259,Kodak Black Featuring XXXTENTACION,Roll In Peace,2018-02-01,rap-song,Kodak+Black+Roll+In+Peace
260,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie",KEKE,2018-02-01,rap-song,"6ix9ine,+Fetty+Wap+KEKE"
261,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,2018-02-01,rap-song,Lil+Uzi+Vert+The+Way+Life+Goes
262,Cardi B,Bodak Yellow (Money Moves),2018-01-01,rap-song,Cardi+B+Bodak+Yellow
263,Yo Gotti Featuring Nicki Minaj,Rake It Up,2018-01-01,rap-song,Yo+Gotti+Rake+It+Up
264,21 Savage,Bank Account,2018-01-01,rap-song,21+Savage+Bank+Account
265,Kodak Black Featuring Lil Wayne,Codeine Dreaming,2018-01-01,rap-song,Kodak+Black+Codeine+Dreaming
266,Post Malone,Candy Paint,2018-01-01,rap-song,Post+Malone+Candy+Paint
267,YBN Nahmir,Rubbin Off The Paint,2018-01-01,rap-song,YBN+Nahmir+Rubbin+Off+The+Paint
268,6ix9ine,Kooda,2018-01-01,rap-song,6ix9ine+Kooda
269,French Montana Featuring Swae Lee,Unforgettable,2017-12-01,rap-song,French+Montana+Unforgettable
270,Eminem Featuring Beyonce,Walk On Water,2017-12-01,rap-song,Eminem+Walk+On+Water
271,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,2017-12-01,rap-song,Logic+1-800-273-8255
272,Tay-K,The Race,2017-12-01,rap-song,Tay-K+The+Race
273,NAV Featuring Lil Uzi Vert,Wanted You,2017-12-01,rap-song,NAV+Wanted+You
274,"21 Savage, Offset & Metro Boomin Featuring Travis Scott",Ghostface Killers,2017-12-01,rap-song,"21+Savage,+Offset+Ghostface+Killers"
275,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew,2017-12-01,rap-song,GoldLink+Crew
276,Travis Scott,Butterfly Effect,2017-11-01,rap-song,Travis+Scott+Butterfly+Effect
277,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One,2017-11-01,rap-song,DJ+Khaled+I'm+The+One
278,Macklemore Featuring Skylar Grey,Glorious,2017-11-01,rap-song,Macklemore+Glorious
279,Post Malone,Go Flex,2017-11-01,rap-song,Post+Malone+Go+Flex
