,artist,track,date,chart,spotify_query
0,Powfu Featuring beabadoobee,death bed,2020-05-01,hot-100,Powfu+death+bed
1,blackbear,Hot Girl Bummer,2020-05-01,hot-100,blackbear+Hot+Girl+Bummer
2,SAINt JHN,Roses (Imanbek Remix),2020-05-01,hot-100,SAINt+JHN+Roses
3,Morgan Wallen,Chasin' You,2020-05-01,hot-100,Morgan+Wallen+Chasin'+You
4,Blake Shelton Duet With Gwen Stefani,Nobody But You,2020-05-01,hot-100,Blake+Shelton+Gwen+Stefani+Nobody+But+You
5,Lil Mosey,Blueberry Faygo,2020-05-01,hot-100,Lil+Mosey+Blueberry+Faygo
6,Maroon 5,Memories,2020-05-01,hot-100,Maroon+5+Memories
7,DaBaby Featuring YoungBoy Never Broke Again,JUMP,2020-05-01,hot-100,DaBaby+JUMP
8,Gabby Barrett,I Hope,2020-05-01,hot-100,Gabby+Barrett+I+Hope
9,Lewis Capaldi,Someone You Loved,2020-05-01,hot-100,Lewis+Capaldi+Someone+You+Loved
10,Megan Thee Stallion,Savage,2020-05-01,hot-100,Megan+Thee+Stallion+Savage
11,Maren Morris,The Bones,2020-05-01,hot-100,Maren+Morris+The+Bones
12,Camila Cabello Featuring DaBaby,My Oh My,2020-05-01,hot-100,Camila+Cabello+My+Oh+My
13,Billie Eilish,everything i wanted,2020-05-01,hot-100,Billie+Eilish+everything+i+wanted
14,Future Featuring Drake,Life Is Good,2020-05-01,hot-100,Future+Life+Is+Good
15,DaBaby Featuring Roddy Ricch,ROCKSTAR,2020-05-01,hot-100,DaBaby+ROCKSTAR
16,Justin Bieber Featuring Quavo,Intentions,2020-05-01,hot-100,Justin+Bieber+Intentions
17,Harry Styles,Adore You,2020-05-01,hot-100,Harry+Styles+Adore+You
18,Post Malone,Circles,2020-05-01,hot-100,Post+Malone+Circles
19,Doja Cat,Say So,2020-05-01,hot-100,Doja+Cat+Say+So
20,Dua Lipa,Don't Start Now,2020-05-01,hot-100,Dua+Lipa+Don't+Start+Now
21,Roddy Ricch,The Box,2020-05-01,hot-100,Roddy+Ricch+The+Box
22,Drake,Toosie Slide,2020-05-01,hot-100,Drake+Toosie+Slide
23,Trevor Daniel,Falling,2020-05-01,hot-100,Trevor+Daniel+Falling
24,Roddy Ricch Featuring Mustard,High Fashion,2020-05-01,hot-100,Roddy+Ricch+High+Fashion
25,DaBaby Featuring Ashanti & Megan Thee Stallion,NASTY,2020-05-01,hot-100,DaBaby+NASTY
26,Arizona Zervas,Roxanne,2020-05-01,hot-100,Arizona+Zervas+Roxanne
27,Chris Brown Featuring Drake,No Guidance,2020-05-01,hot-100,Chris+Brown+No+Guidance
28,Carly Pearce & Lee Brice,I Hope You're Happy Now,2020-05-01,hot-100,Carly+Pearce+I+Hope+You're+Happy+Now
29,Lady Gaga,Stupid Love,2020-05-01,hot-100,Lady+Gaga+Stupid+Love
30,twenty one pilots,Level Of Concern,2020-05-01,hot-100,twenty+one+pilots+Level+Of+Concern
31,DaBaby Featuring Quavo,PICK UP,2020-05-01,hot-100,DaBaby+PICK+UP
32,DaBaby,BOP,2020-05-01,hot-100,DaBaby+BOP
33,Demi Lovato,I Love Me,2020-05-01,hot-100,Demi+Lovato+I+Love+Me
34,Dan + Shay & Justin Bieber,"10,000 Hours",2020-05-01,hot-100,"Dan+++Shay+10,000+Hours"
35,Luke Combs Featuring Eric Church,Does To Me,2020-05-01,hot-100,Luke+Combs+Does+To+Me
36,Dua Lipa,Break My Heart,2020-05-01,hot-100,Dua+Lipa+Break+My+Heart
37,Surfaces,Sunday Best,2020-05-01,hot-100,Surfaces+Sunday+Best
38,Jack Harlow,Whats Poppin,2020-05-01,hot-100,Jack+Harlow+Whats+Poppin
39,Sam Smith & Demi Lovato,I'm Ready,2020-05-01,hot-100,Sam+Smith+I'm+Ready
40,Playboi Carti,@ MEH,2020-05-01,hot-100,Playboi+Carti+@+MEH
41,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),2020-05-01,hot-100,The+Black+Eyed+Peas+J+Balvin+RITMO
42,DaBaby,Find My Way,2020-05-01,hot-100,DaBaby+Find+My+Way
43,Mustard & Roddy Ricch,Ballin',2020-05-01,hot-100,Mustard+Ballin'
44,Tones And I,Dance Monkey,2020-05-01,hot-100,Tones+And+I+Dance+Monkey
45,Ingrid Andress,More Hearts Than Mine,2020-05-01,hot-100,Ingrid+Andress+More+Hearts+Than+Mine
46,Rod Wave,Heart On Ice,2020-05-01,hot-100,Rod+Wave+Heart+On+Ice
47,The Weeknd,Heartless,2020-05-01,hot-100,The+Weeknd+Heartless
48,The Weeknd,Blinding Lights,2020-05-01,hot-100,The+Weeknd+Blinding+Lights
49,Sam Hunt,Hard To Forget,2020-05-01,hot-100,Sam+Hunt+Hard+To+Forget
50,The Weeknd,Scared To Live,2020-04-01,hot-100,The+Weeknd+Scared+To+Live
51,The Weeknd,Hardest To Love,2020-04-01,hot-100,The+Weeknd+Hardest+To+Love
52,The Weeknd,After Hours,2020-04-01,hot-100,The+Weeknd+After+Hours
53,The Weeknd,Alone Again,2020-04-01,hot-100,The+Weeknd+Alone+Again
54,The Weeknd,In Your Eyes,2020-04-01,hot-100,The+Weeknd+In+Your+Eyes
55,The Weeknd,Too Late,2020-04-01,hot-100,The+Weeknd+Too+Late
56,Kane Brown,Homesick,2020-04-01,hot-100,Kane+Brown+Homesick
57,Jake Owen,Homemade,2020-04-01,hot-100,Jake+Owen+Homemade
58,Jordan Davis,Slow Dance In A Parking Lot,2020-04-01,hot-100,Jordan+Davis+Slow+Dance+In+A+Parking+Lot
59,Selena Gomez,Lose You To Love Me,2020-04-01,hot-100,Selena+Gomez+Lose+You+To+Love+Me
60,Luke Bryan,What She Wants Tonight,2020-04-01,hot-100,Luke+Bryan+What+She+Wants+Tonight
61,The Weeknd,Faith,2020-04-01,hot-100,The+Weeknd+Faith
62,Lil Baby,Woah,2020-04-01,hot-100,Lil+Baby+Woah
63,The Weeknd,Save Your Tears,2020-04-01,hot-100,The+Weeknd+Save+Your+Tears
64,The Weeknd,Escape From LA,2020-04-01,hot-100,The+Weeknd+Escape+From+LA
65,Eminem Featuring Juice WRLD,Godzilla,2020-04-01,hot-100,Eminem+Godzilla
66,YNW Melly & Juice WRLD,Suicidal,2020-04-01,hot-100,YNW+Melly+Suicidal
67,Halsey,You should be sad,2020-04-01,hot-100,Halsey+You+should+be+sad
68,The Weeknd,Snowchild,2020-04-01,hot-100,The+Weeknd+Snowchild
69,Jimmie Allen,Make Me Want To,2020-03-01,hot-100,Jimmie+Allen+Make+Me+Want+To
70,"A Boogie Wit da Hoodie Featuring Roddy Ricch, Gunna & London On Da Track",Numbers,2020-03-01,hot-100,A+Boogie+Wit+da+Hoodie+Numbers
71,Justin Bieber,Yummy,2020-03-01,hot-100,Justin+Bieber+Yummy
72,BTS,ON,2020-03-01,hot-100,BTS+ON
73,Lizzo,Good As Hell,2020-03-01,hot-100,Lizzo+Good+As+Hell
74,Jonas Brothers,Only Human,2020-03-01,hot-100,Jonas+Brothers+Only+Human
75,YoungBoy Never Broke Again,Red Eye,2020-03-01,hot-100,YoungBoy+Never+Broke+Again+Red+Eye
76,Lil Baby,Sum 2 Prove,2020-03-01,hot-100,Lil+Baby+Sum+2+Prove
77,Ed Sheeran & Justin Bieber,I Don't Care,2020-03-01,hot-100,Ed+Sheeran+I+Don't+Care
78,Old Dominion,One Man Band,2020-03-01,hot-100,Old+Dominion+One+Man+Band
79,SHAED,Trampoline,2020-03-01,hot-100,SHAED+Trampoline
80,Travis Scott,HIGHEST IN THE ROOM,2020-03-01,hot-100,Travis+Scott+HIGHEST+IN+THE+ROOM
81,Jonas Brothers,Sucker,2020-03-01,hot-100,Jonas+Brothers+Sucker
82,Shawn Mendes & Camila Cabello,Senorita,2020-03-01,hot-100,Shawn+Mendes+Senorita
83,Sam Hunt,Kinfolks,2020-03-01,hot-100,Sam+Hunt+Kinfolks
84,YoungBoy Never Broke Again,Lil Top,2020-03-01,hot-100,YoungBoy+Never+Broke+Again+Lil+Top
85,Jonas Brothers,What A Man Gotta Do,2020-03-01,hot-100,Jonas+Brothers+What+A+Man+Gotta+Do
86,Pop Smoke,Dior,2020-03-01,hot-100,Pop+Smoke+Dior
87,Billie Eilish,Bad Guy,2020-03-01,hot-100,Billie+Eilish+Bad+Guy
88,Mac Miller,Good News,2020-02-01,hot-100,Mac+Miller+Good+News
89,Eminem Featuring Young M.A,Unaccommodating,2020-02-01,hot-100,Eminem+Unaccommodating
90,Mac Miller,Circles,2020-02-01,hot-100,Mac+Miller+Circles
91,Juice WRLD & YoungBoy Never Broke Again,Bandit,2020-02-01,hot-100,Juice+WRLD+Bandit
92,Luke Combs,Even Though I'm Leaving,2020-02-01,hot-100,Luke+Combs+Even+Though+I'm+Leaving
93,Lizzo,Truth Hurts,2020-02-01,hot-100,Lizzo+Truth+Hurts
94,Young Thug Featuring Gunna,Hot,2020-02-01,hot-100,Young+Thug+Hot
95,Lil Nas X,Panini,2020-02-01,hot-100,Lil+Nas+X+Panini
96,Mac Miller,Blue World,2020-02-01,hot-100,Mac+Miller+Blue+World
97,Eminem Featuring Ed Sheeran,Those Kinda Nights,2020-02-01,hot-100,Eminem+Those+Kinda+Nights
98,Eminem,Darkness,2020-02-01,hot-100,Eminem+Darkness
99,Doja Cat & Tyga,Juicy,2020-02-01,hot-100,Doja+Cat+Juicy
100,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",2020-01-01,hot-100,"Dean+Martin+Let+It+Snow,+Let+It+Snow,+Let+It+Snow"
101,Jose Feliciano,Feliz Navidad,2020-01-01,hot-100,Jose+Feliciano+Feliz+Navidad
102,Andy Williams,Happy Holiday / The Holiday Season,2020-01-01,hot-100,Andy+Williams+Happy+Holiday+
103,The Ronettes,Sleigh Ride,2020-01-01,hot-100,The+Ronettes+Sleigh+Ride
104,Nat King Cole,The Christmas Song (Merry Christmas To You),2020-01-01,hot-100,Nat+King+Cole+The+Christmas+Song
105,Wham!,Last Christmas,2020-01-01,hot-100,Wham!+Last+Christmas
106,Andy Williams,It's The Most Wonderful Time Of The Year,2020-01-01,hot-100,Andy+Williams+It's+The+Most+Wonderful+Time+Of+The+Year
107,Burl Ives,A Holly Jolly Christmas,2020-01-01,hot-100,Burl+Ives+A+Holly+Jolly+Christmas
108,Bobby Helms,Jingle Bell Rock,2020-01-01,hot-100,Bobby+Helms+Jingle+Bell+Rock
109,Brenda Lee,Rockin' Around The Christmas Tree,2020-01-01,hot-100,Brenda+Lee+Rockin'+Around+The+Christmas+Tree
110,Mariah Carey,All I Want For Christmas Is You,2020-01-01,hot-100,Mariah+Carey+All+I+Want+For+Christmas+Is+You
111,Gene Autry,Rudolph The Red-Nosed Reindeer,2020-01-01,hot-100,Gene+Autry+Rudolph+The+Red-Nosed+Reindeer
112,Lil Tecca,Ran$om,2020-01-01,hot-100,Lil+Tecca+Ran$om
113,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",2020-01-01,hot-100,"Thurl+Ravenscroft+You're+A+Mean+One,+Mr.+Grinch"
114,Lil Uzi Vert,Futsal Shuffle 2020,2020-01-01,hot-100,Lil+Uzi+Vert+Futsal+Shuffle+2020
115,Dean Martin,Baby It's Cold Outside,2020-01-01,hot-100,Dean+Martin+Baby+It's+Cold+Outside
116,Jonas Brothers,Like It's Christmas,2020-01-01,hot-100,Jonas+Brothers+Like+It's+Christmas
117,Frank Sinatra,Jingle Bells,2020-01-01,hot-100,Frank+Sinatra+Jingle+Bells
118,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,2020-01-01,hot-100,Perry+Como+And+The+Fontane+Sisters+With+Mitchell+Ayres+And+His+Orchestra+It's+Beginning+To+Look+A+Lot+Like+Christmas
119,Elvis Presley,Blue Christmas,2020-01-01,hot-100,Elvis+Presley+Blue+Christmas
120,Bing Crosby,White Christmas,2020-01-01,hot-100,Bing+Crosby+White+Christmas
121,Darlene Love,Christmas (Baby Please Come Home),2020-01-01,hot-100,Darlene+Love+Christmas
122,Perry Como,(There's No Place Like) Home For The Holidays,2020-01-01,hot-100,Perry+Como+(There's+No+Place+Like)+Home+For+The+Holidays
123,Kelly Clarkson,Underneath The Tree,2020-01-01,hot-100,Kelly+Clarkson+Underneath+The+Tree
124,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),2020-01-01,hot-100,Gene+Autry+Here+Comes+Santa+Claus
125,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,2020-01-01,hot-100,Lil+Nas+X+Old+Town+Road
126,Chuck Berry,Run Rudolph Run,2020-01-01,hot-100,Chuck+Berry+Run+Rudolph+Run
127,Sam Smith,How Do You Sleep?,2019-12-01,hot-100,Sam+Smith+How+Do+You+Sleep?
128,Wale Featuring Jeremih,On Chill,2019-12-01,hot-100,Wale+On+Chill
129,Bad Bunny,Vete,2019-12-01,hot-100,Bad+Bunny+Vete
130,Halsey,Graveyard,2019-12-01,hot-100,Halsey+Graveyard
131,Khalid,Talk,2019-12-01,hot-100,Khalid+Talk
132,Chris Brown Featuring Gunna,Heat,2019-12-01,hot-100,Chris+Brown+Heat
133,Lil Baby & DaBaby,Baby,2019-12-01,hot-100,Lil+Baby+Baby
134,Post Malone Featuring Young Thug,Goodbyes,2019-12-01,hot-100,Post+Malone+Goodbyes
135,Summer Walker,Playing Games,2019-12-01,hot-100,Summer+Walker+Playing+Games
136,DaBaby,Suge,2019-12-01,hot-100,DaBaby+Suge
137,Post Malone Featuring Ozzy Osbourne & Travis Scott,Take What You Want,2019-12-01,hot-100,Post+Malone+Take+What+You+Want
138,Ed Sheeran Featuring Khalid,Beautiful People,2019-12-01,hot-100,Ed+Sheeran+Beautiful+People
139,Taylor Swift,Lover,2019-12-01,hot-100,Taylor+Swift+Lover
140,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2019-11-01,hot-100,Post+Malone+Sunflower
141,Drake Featuring Rick Ross,Money In The Grave,2019-11-01,hot-100,Drake+Money+In+The+Grave
142,Saweetie,My Type,2019-11-01,hot-100,Saweetie+My+Type
143,Cole Swindell,Love You Too Late,2019-11-01,hot-100,Cole+Swindell+Love+You+Too+Late
144,Chris Janson,Good Vibes,2019-11-01,hot-100,Chris+Janson+Good+Vibes
145,YoungBoy Never Broke Again,Lonely Child,2019-11-01,hot-100,YoungBoy+Never+Broke+Again+Lonely+Child
146,Post Malone,Wow.,2019-11-01,hot-100,Post+Malone+Wow.
147,YNW Melly & 9lokknine,223's,2019-11-01,hot-100,YNW+Melly+223's
148,NF,Time,2019-11-01,hot-100,NF+Time
149,Matt Stell,Prayed For You,2019-11-01,hot-100,Matt+Stell+Prayed+For+You
150,NLE Choppa,Camelot,2019-11-01,hot-100,NLE+Choppa+Camelot
151,Taylor Swift,You Need To Calm Down,2019-11-01,hot-100,Taylor+Swift+You+Need+To+Calm+Down
152,Marshmello & Kane Brown,One Thing Right,2019-11-01,hot-100,Marshmello+One+Thing+Right
153,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,2019-11-01,hot-100,"Megan+Thee+Stallion,+Nicki+Minaj+Hot+Girl+Summer"
154,Sam Smith & Normani,Dancing With A Stranger,2019-11-01,hot-100,Sam+Smith+Dancing+With+A+Stranger
155,Luke Bryan,Knockin' Boots,2019-10-01,hot-100,Luke+Bryan+Knockin'+Boots
156,Ariana Grande & Social House,Boyfriend,2019-10-01,hot-100,Ariana+Grande+Boyfriend
157,DaBaby,INTRO,2019-10-01,hot-100,DaBaby+INTRO
158,Post Malone,Saint-Tropez,2019-10-01,hot-100,Post+Malone+Saint-Tropez
159,Dan + Shay,Speechless,2019-10-01,hot-100,Dan+++Shay+Speechless
160,Luke Combs,Beer Never Broke My Heart,2019-10-01,hot-100,Luke+Combs+Beer+Never+Broke+My+Heart
161,Megan Thee Stallion Featuring DaBaby,Cash Shit,2019-10-01,hot-100,Megan+Thee+Stallion+Cash+Shit
162,"Young Thug, J. Cole & Travis Scott",The London,2019-10-01,hot-100,"Young+Thug,+J.+Cole+The+London"
163,Chris Lane,I Don't Know About You,2019-10-01,hot-100,Chris+Lane+I+Don't+Know+About+You
164,Polo G Featuring Lil Tjay,Pop Out,2019-10-01,hot-100,Polo+G+Pop+Out
165,Blanco Brown,The Git Up,2019-10-01,hot-100,Blanco+Brown+The+Git+Up
166,Shawn Mendes,If I Can't Have You,2019-10-01,hot-100,Shawn+Mendes+If+I+Can't+Have+You
167,Halsey,Without Me,2019-10-01,hot-100,Halsey+Without+Me
168,Post Malone Featuring DaBaby,Enemies,2019-10-01,hot-100,Post+Malone+Enemies
169,Taylor Swift,The Man,2019-09-01,hot-100,Taylor+Swift+The+Man
170,Taylor Swift Featuring Brendon Urie,ME!,2019-09-01,hot-100,Taylor+Swift+ME!
171,Taylor Swift,I Forgot That You Existed,2019-09-01,hot-100,Taylor+Swift+I+Forgot+That+You+Existed
172,Taylor Swift,Cruel Summer,2019-09-01,hot-100,Taylor+Swift+Cruel+Summer
173,NLE Choppa,Shotta Flow,2019-09-01,hot-100,NLE+Choppa+Shotta+Flow
174,Taylor Swift,Miss Americana & The Heartbreak Prince,2019-09-01,hot-100,Taylor+Swift+Miss+Americana+&+The+Heartbreak+Prince
175,Dan + Shay,All To Myself,2019-09-01,hot-100,Dan+++Shay+All+To+Myself
176,Morgan Wallen,Whiskey Glasses,2019-09-01,hot-100,Morgan+Wallen+Whiskey+Glasses
177,Blake Shelton,God's Country,2019-09-01,hot-100,Blake+Shelton+God's+Country
178,Taylor Swift,Paper Rings,2019-09-01,hot-100,Taylor+Swift+Paper+Rings
179,Ariana Grande,7 Rings,2019-09-01,hot-100,Ariana+Grande+7+Rings
180,Taylor Swift,The Archer,2019-09-01,hot-100,Taylor+Swift+The+Archer
181,Panic! At The Disco,"Hey Look Ma, I Made It",2019-09-01,hot-100,"Panic!+At+The+Disco+Hey+Look+Ma,+I+Made+It"
182,Offset Featuring Cardi B,Clout,2019-08-01,hot-100,Offset+Clout
183,Marshmello & Bastille,Happier,2019-08-01,hot-100,Marshmello+Happier
184,J. Cole,Middle Child,2019-08-01,hot-100,J.+Cole+Middle+Child
185,Lee Brice,Rumor,2019-08-01,hot-100,Lee+Brice+Rumor
186,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,2019-08-01,hot-100,Daddy+Yankee+Con+Calma
187,Lady Gaga & Bradley Cooper,Shallow,2019-08-01,hot-100,Lady+Gaga+Shallow
188,Travis Scott,Sicko Mode,2019-08-01,hot-100,Travis+Scott+Sicko+Mode
189,Meek Mill Featuring Drake,Going Bad,2019-08-01,hot-100,Meek+Mill+Going+Bad
190,Maren Morris,GIRL,2019-08-01,hot-100,Maren+Morris+GIRL
191,Khalid,Better,2019-08-01,hot-100,Khalid+Better
192,City Girls,Act Up,2019-08-01,hot-100,City+Girls+Act+Up
193,Panic! At The Disco,High Hopes,2019-08-01,hot-100,Panic!+At+The+Disco+High+Hopes
194,Katy Perry,Never Really Over,2019-08-01,hot-100,Katy+Perry+Never+Really+Over
195,Ava Max,Sweet But Psycho,2019-08-01,hot-100,Ava+Max+Sweet+But+Psycho
196,Halsey,Nightmare,2019-07-01,hot-100,Halsey+Nightmare
197,Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",2019-07-01,hot-100,"Ariana+Grande+Break+Up+With+Your+Girlfriend,+I'm+Bored"
198,Lil Nas X & Cardi B Or Nas,Rodeo,2019-07-01,hot-100,Lil+Nas+X+Rodeo
199,Nicki Minaj,MEGATRON,2019-07-01,hot-100,Nicki+Minaj+MEGATRON
200,Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me,2019-07-01,hot-100,Ed+Sheeran+Cross+Me
201,A Boogie Wit da Hoodie,Look Back At It,2019-07-01,hot-100,A+Boogie+Wit+da+Hoodie+Look+Back+At+It
202,"Tyler, The Creator",EARFQUAKE,2019-07-01,hot-100,"Tyler,+The+Creator+EARFQUAKE"
203,Cardi B,Press,2019-07-01,hot-100,Cardi+B+Press
204,Mustard & Migos,Pure Water,2019-07-01,hot-100,Mustard+Pure+Water
205,"benny blanco, Halsey & Khalid",Eastside,2019-07-01,hot-100,"benny+blanco,+Halsey+Eastside"
206,DJ Khaled Featuring Nipsey Hussle & John Legend,Higher,2019-06-01,hot-100,DJ+Khaled+Higher
207,DJ Khaled Featuring Cardi B & 21 Savage,Wish Wish,2019-06-01,hot-100,DJ+Khaled+Wish+Wish
208,Thomas Rhett,Look What God Gave Her,2019-06-01,hot-100,Thomas+Rhett+Look+What+God+Gave+Her
209,Marshmello Featuring CHVRCHES,Here With Me,2019-06-01,hot-100,Marshmello+Here+With+Me
210,21 Savage,A Lot,2019-06-01,hot-100,21+Savage+A+Lot
211,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",You Stay,2019-06-01,hot-100,DJ+Khaled+You+Stay
212,DJ Khaled Featuring SZA,Just Us,2019-06-01,hot-100,DJ+Khaled+Just+Us
213,Luke Combs,Beautiful Crazy,2019-06-01,hot-100,Luke+Combs+Beautiful+Crazy
214,Billie Eilish,When The Party's Over,2019-06-01,hot-100,Billie+Eilish+When+The+Party's+Over
215,Calboy,Envy Me,2019-06-01,hot-100,Calboy+Envy+Me
216,Kane Brown,Good As You,2019-06-01,hot-100,Kane+Brown+Good+As+You
217,Maroon 5 Featuring Cardi B,Girls Like You,2019-06-01,hot-100,Maroon+5+Girls+Like+You
218,Cardi B & Bruno Mars,Please Me,2019-06-01,hot-100,Cardi+B+Please+Me
219,Blueface,Thotiana,2019-06-01,hot-100,Blueface+Thotiana
220,Lil Dicky,Earth,2019-05-01,hot-100,Lil+Dicky+Earth
221,Dean Lewis,Be Alright,2019-05-01,hot-100,Dean+Lewis+Be+Alright
222,5 Seconds Of Summer,Youngblood,2019-05-01,hot-100,5+Seconds+Of+Summer+Youngblood
223,Brett Young,Here Tonight,2019-05-01,hot-100,Brett+Young+Here+Tonight
224,Pinkfong,Baby Shark,2019-05-01,hot-100,Pinkfong+Baby+Shark
225,Lauren Daigle,You Say,2019-05-01,hot-100,Lauren+Daigle+You+Say
226,Chase Rice,Eyes On You,2019-05-01,hot-100,Chase+Rice+Eyes+On+You
227,Post Malone,Better Now,2019-05-01,hot-100,Post+Malone+Better+Now
228,Ariana Grande,"Thank U, Next",2019-05-01,hot-100,"Ariana+Grande+Thank+U,+Next"
229,BTS Featuring Halsey,Boy With Luv,2019-05-01,hot-100,BTS+Boy+With+Luv
230,Billie Eilish,Bury A Friend,2019-05-01,hot-100,Billie+Eilish+Bury+A+Friend
231,YNW Melly,Murder On My Mind,2019-05-01,hot-100,YNW+Melly+Murder+On+My+Mind
232,Lil Baby & Gunna,Drip Too Hard,2019-05-01,hot-100,Lil+Baby+Drip+Too+Hard
233,Lil Uzi Vert,Sanguine Paradise,2019-05-01,hot-100,Lil+Uzi+Vert+Sanguine+Paradise
234,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,2019-05-01,hot-100,Ellie+Goulding+Diplo+Close+To+Me
235,Bad Bunny Featuring Drake,MIA,2019-04-01,hot-100,Bad+Bunny+MIA
236,Juice WRLD,Robbery,2019-04-01,hot-100,Juice+WRLD+Robbery
237,Kodak Black Featuring Travis Scott & Offset,ZEZE,2019-04-01,hot-100,Kodak+Black+ZEZE
238,Dan + Shay,Tequila,2019-04-01,hot-100,Dan+++Shay+Tequila
239,YNW Melly Featuring Kanye West,Mixed Personalities,2019-04-01,hot-100,YNW+Melly+Mixed+Personalities
240,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,2019-04-01,hot-100,A+Boogie+Wit+da+Hoodie+Swervin
241,"Cardi B, Bad Bunny & J Balvin",I Like It,2019-04-01,hot-100,"Cardi+B,+Bad+Bunny+I+Like+It"
242,Yo Gotti Featuring Lil Baby,Put A Date On It,2019-04-01,hot-100,Yo+Gotti+Put+A+Date+On+It
243,Juice WRLD,Lucid Dreams,2019-04-01,hot-100,Juice+WRLD+Lucid+Dreams
244,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,2019-04-01,hot-100,DJ+Snake+Taki+Taki
245,Cardi B,Money,2019-04-01,hot-100,Cardi+B+Money
246,City Girls Featuring Cardi B,Twerk,2019-04-01,hot-100,City+Girls+Twerk
247,Offset,Red Room,2019-03-01,hot-100,Offset+Red+Room
248,Ariana Grande,Needy,2019-03-01,hot-100,Ariana+Grande+Needy
249,Pardison Fontaine Featuring Cardi B,Backin' It Up,2019-03-01,hot-100,Pardison+Fontaine+Backin'+It+Up
250,Ariana Grande,NASA,2019-03-01,hot-100,Ariana+Grande+NASA
251,Scotty McCreery,This Is It,2019-03-01,hot-100,Scotty+McCreery+This+Is+It
252,Sheck Wes,Mo Bamba,2019-03-01,hot-100,Sheck+Wes+Mo+Bamba
253,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,2019-03-01,hot-100,Gucci+Mane+Bruno+Mars+Kodak+Black+Wake+Up+In+The+Sky
254,Flipp Dinero,Leave Me Alone,2019-03-01,hot-100,Flipp+Dinero+Leave+Me+Alone
255,Logic,Keanu Reeves,2019-02-01,hot-100,Logic+Keanu+Reeves
256,Ella Mai,Trip,2019-02-01,hot-100,Ella+Mai+Trip
257,Khalid & Normani,Love Lies,2019-02-01,hot-100,Khalid+Love+Lies
258,Gesaffelstein & The Weeknd,Lost In The Fire,2019-02-01,hot-100,Gesaffelstein+Lost+In+The+Fire
259,Future,Crushed Up,2019-02-01,hot-100,Future+Crushed+Up
260,Future Featuring Travis Scott,First Off,2019-02-01,hot-100,Future+First+Off
261,Dierks Bentley Featuring Brothers Osborne,Burning Man,2019-02-01,hot-100,Dierks+Bentley+Burning+Man
262,Thomas Rhett,Sixteen,2019-02-01,hot-100,Thomas+Rhett+Sixteen
263,Bazzi Featuring Camila Cabello,Beautiful,2019-02-01,hot-100,Bazzi+Beautiful
264,Ariana Grande,Breathin,2019-02-01,hot-100,Ariana+Grande+Breathin
265,Imagine Dragons,Natural,2019-02-01,hot-100,Imagine+Dragons+Natural
266,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over),2019-01-01,hot-100,John+Happy+Xmas
267,Queen,Bohemian Rhapsody,2018-12-01,hot-100,Queen+Bohemian+Rhapsody
268,Drake,In My Feelings,2018-12-01,hot-100,Drake+In+My+Feelings
269,Ariana Grande,God Is A Woman,2018-12-01,hot-100,Ariana+Grande+God+Is+A+Woman
270,Kane Brown,Lose It,2018-12-01,hot-100,Kane+Brown+Lose+It
271,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,2018-12-01,hot-100,XXXTENTACION+x+Lil+Pump+Arms+Around+You
272,NF,Lie,2018-12-01,hot-100,NF+Lie
273,Jimmie Allen,Best Shot,2018-12-01,hot-100,Jimmie+Allen+Best+Shot
274,XXXTENTACION,Sad!,2018-12-01,hot-100,XXXTENTACION+Sad!
275,Post Malone Featuring Ty Dolla $ign,Psycho,2018-12-01,hot-100,Post+Malone+Psycho
276,Lauv,I Like Me Better,2018-12-01,hot-100,Lauv+I+Like+Me+Better
277,Ella Mai,Boo'd Up,2018-12-01,hot-100,Ella+Mai+Boo'd+Up
278,Cardi B Featuring Kehlani,Ring,2018-12-01,hot-100,Cardi+B+Ring
279,XXXTENTACION,BAD!,2018-12-01,hot-100,XXXTENTACION+BAD!
280,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,2018-12-01,hot-100,6ix9ine+FEFE
281,Lil Wayne,Uproar,2018-12-01,hot-100,Lil+Wayne+Uproar
282,lovelytheband,Broken,2018-12-01,hot-100,lovelytheband+Broken
